# source: https://www.google.com/maps/search/hotel/
place_id,name,latitude,longitude,address,city,country,timezone,categories,star_rating,rating,amenities,description,price_display,website,phone,google_maps_url
ChIJO59oR2ND0i0R89zlLB8fkOc,Grandmas Plus Hotel Airport,-8.7417252,115.1815659,"Grandmas Plus Hotel Airport, Jl. Bypass Ngurah Rai No.99, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361","Kabupaten Badung, Bali",ID,Asia/Makassar,Hotel,Hotel,4.6,Wi-Fi gratis,Hotel murah & kasual ini berjarak 5 km dari Bandara Internasional Ngurah Rai dan Pantai Kuta yang ramai. Hotel ini berjarak 4 km dari taman hiburan Waterbom Bali.,Rp 260.994,https://www.grandmashotel.com/airport,(,https://www.google.com/maps/place/?q=place_id:ChIJO59oR2ND0i0R89zlLB8fkOc
ChIJxexbPrxG0i0R00nCODb24_4,Kutabex Beach Front Hotel,-8.7201302,115.16985489999999,"Kutabex Beach Front Hotel, Jalan Pantai Kuta, Banjar Pande Mas, Jl. Pantai Kuta, Kuta, Badung Regency, Bali 80361","Kabupaten Badung, Bali",ID,Asia/Makassar,Hotel,Hotel bintang 3,4.2,Wi-Fi gratis,"Hotel modern ini dekat dengan kawasan pejalan kaki yang ramai dan dipenuhi restoran, serta terletak di seberang jalan dari Pantai Kuta di Samudra Hindia dan berjarak 4 km dari museum seni ilusi 3D di DMZ Bali.",Rp 380.810,http://www.kutabexhotel.com/,(,https://www.google.com/maps/place/?q=place_id:ChIJxexbPrxG0i0R00nCODb24_4
ChIJQVBqmaFG0i0RVNWBstf500U,favehotel - Kartika Plaza Kuta,-8.730222,115.1674705,"favehotel - Kartika Plaza Kuta, Jl. Kartika Plaza No.45X, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361","Kabupaten Badung, Bali",ID,Asia/Makassar,Hotel|Gedung Pertemuan|Restoran,Hotel bintang 3,4.6,Wi-Fi gratis,"Hotel trendi dan murah yang terletak di jalan dengan pepohonan yang rindang dengan panorama Samudra Hindia ini berjarak 4 menit berjalan kaki dari taman rekreasi air Waterbom Bali, dan 18 menit berjalan kaki dari Pantai Kuta dan Bandara Internasional Ngurah Rai.",Rp 321.514,https://www.favehotels.com/en/hotel/view/48/favehotel-kuta-kartika-plaza,(,https://www.google.com/maps/place/?q=place_id:ChIJQVBqmaFG0i0RVNWBstf500U
ChIJjXkJ9tZB0i0R0WxWuDEa-Ks,Four Star by Trans Hotel,-8.6739865,115.2424023,"Four Star by Trans Hotel, Jl. Raya Puputan No.200, Renon, Denpasar Selatan, Kota Denpasar, Bali 80226","Kota Denpasar, Bali",ID,Asia/Makassar,Hotel,Hotel bintang 4,4.5,Wi-Fi gratis,Hotel santai di jalan utama yang rindang ini berjarak 3 km dari Pantai Sanur dan 16 km dari Bandara Internasional Ngurah Rai.,Rp 540.000,https://www.fourstarbytranshotel.com/,(,https://www.google.com/maps/place/?q=place_id:ChIJjXkJ9tZB0i0R0WxWuDEa-Ks
ChIJt8Vm6sBG0i0RV9OrVYRPsSQ,Kuta Beach Hotel,-8.7127455,115.1686605,"Kuta Beach Hotel, Jalan Benesari Pantai, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361","Kabupaten Badung, Bali",ID,Asia/Makassar,Hotel,Hotel bintang 4,4.2,Wi-Fi gratis,"Berjarak 1 blok dari Pantai Kuta, hotel modern dan penuh warna ini juga berjarak 6 km berkendara mobil dari Bandara Internasional Ngurah Rai serta 14 km dari Taman Budaya Garuda Wisnu Kencana.",Rp 385.424,http://www.thekutabeachhotel.com/,(,https://www.google.com/maps/place/?q=place_id:ChIJt8Vm6sBG0i0RV9OrVYRPsSQ
ChIJ8WitRLZG0i0RwZ_P6-w2a1c,PrimeBiz Hotel Kuta,-8.735586699999999,115.1776367,"PrimeBiz Hotel Kuta, Jl. Raya Kuta No.66, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361","Kabupaten Badung, Bali",ID,Asia/Makassar,Hotel,Hotel bintang 3,4.5,Wi-Fi gratis,"Di kawasan yang ramai dengan pertokoan dan restoran, hotel trendi ini berjarak 3 km dari Bandara Internasional Ngurah Rai, 6 km dari Pantai Kuta, dan 8 km dari Pantai Seminyak.",Rp 318.864,http://pbku.pphotels.com/,(,https://www.google.com/maps/place/?q=place_id:ChIJ8WitRLZG0i0RwZ_P6-w2a1c
ChIJq3QFpi1H0i0RbTsqQ0bHQRQ,Quest Hotel San Denpasar,-8.6771545,115.19028999999999,"Quest Hotel San Denpasar, Jl. Mahendradatta No.93, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117","Kota Denpasar, Bali",ID,Asia/Makassar,Hotel|Gedung Pertemuan|Restoran,Hotel bintang 3,4.8,Wi-Fi gratis,"Hotel modern yang terletak di bangunan mewah di tepi jalan yang dikelilingi pohon palem ini berjarak 6 km dari Pura Petitenget, 7 km dari Pantai Seminyak, dan 17 km dari toko perak dan emas di Desa Celuk.",Rp 365.472,https://www.questhotels.com/en/hotel/view/8/quest-hotel-san-denpasar,(,https://www.google.com/maps/place/?q=place_id:ChIJq3QFpi1H0i0RbTsqQ0bHQRQ
ChIJZevwCr9G0i0R_xM2lOlums0,Grand Istana Rama Hotel Bali,-8.715713899999999,115.1686732,"Grand Istana Rama Hotel Bali, Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361","Kabupaten Badung, Bali",ID,Asia/Makassar,Hotel,Hotel bintang 4,4.4,Wi-Fi gratis,"Hotel elegan dengan pintu utama bergaya Hindu yang megah ini berdiri di taman tropis seluas 2 hektar, berjarak satu menit berjalan kaki dari Pantai Kuta dan 15 menit berjalan kaki dari Jalan Legian, jalan pertokoan yang ramai.",Rp 834.174,https://grandistanarama.com/,(,https://www.google.com/maps/place/?q=place_id:ChIJZevwCr9G0i0R_xM2lOlums0
ChIJQb9i6pRA0i0RDjCeW5hi3s0,The Grand Santhi Hotel,-8.6685511,115.21621189999999,"The Grand Santhi Hotel, Jl. Patih Jelantik No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113","Kota Denpasar, Bali",ID,Asia/Makassar,Hotel,Hotel bintang 3,4.2,,"Hotel simpel yang santai ini berjarak 2 km dari Museum seni dan sejarah Bali, 10 km dari Pantai Legian yang ramai, atau 11 km dari taman rekreasi air Waterbom Bali.",Rp 304.224,http://www.hotelgrandsanthi.com/,(,https://www.google.com/maps/place/?q=place_id:ChIJQb9i6pRA0i0RDjCeW5hi3s0
ChIJt95B_BhE0i0RBTlaeD0QsFY,BaliRa Airport Hotel,-8.7415254,115.1692727,"BaliRa Airport Hotel, Jl. Polonia I No.1, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361","Kabupaten Badung, Bali",ID,Asia/Makassar,Hotel,Hotel bintang 3,3.7,Wi-Fi gratis,,Rp 321.392,https://www.indonesiahotels.net/en/hotel/balira-airport-hotel.html,(,https://www.google.com/maps/place/?q=place_id:ChIJt95B_BhE0i0RBTlaeD0QsFY
